id,sample,label

0,czy wspólnota mieszkaniowa może podjąć uchwałę dotyczącą zakupu wodomierzy odczytywanych radiowo do lokali pokrywając ich koszty,prawo cywilne

1,czy wspólnota mieszkaniowa może odzyskać pomieszczenie gospodarcze jakie kroki wspólnota mieszkaniowa powinna podjąć aby odzyskać przedmiotowe pomieszczenie,prawo cywilne

2,czy uprawnienie mieszkańców wspólnoty mieszkaniowej jest zgodne z przepisami rodo,prawo administracyjne

3,czy budowa windy dla osób niepełnosprawnych może zostać zakwalifikowana jako remont i zostać sfinansowana z funduszu remontowego dużej wspólnoty mieszkaniowej,prawo administracyjne

4,jakie czynności powinna podjąć wspólnota mieszkaniowa założenie funduszu celowego w celu wybudowania windy dla osób niepełnosprawnych czy wspólnota mieszkaniowa może uchwałą wspólników przeksięgować środki z funduszu remontowego na fundusz celowy,prawo cywilne

5,czy nieruchomość nabywa wspólnota mieszkaniowa czy też jej poszczególni członkowie kto będzie właścicielem nabytej nieruchomości kto będzie zobowiązany do zapłaty podatku od nieruchomości czy na zakup nieruchomości wspólnota może przeznaczyć środki zgromadzone na zaliczce remontowo  inwestycyjnej czy do nabycia nieruchomości wystarczy podjęcie uchwały większością głosów,prawo cywilne

6,jaką treść powinny zawierać przedmiotowe tablice informacyjne,prawo administracyjne

7,jakie koszty musi ponieść wspólnota mieszkaniowa w związku ze złożeniem wniosku o stwierdzenie nabycia spadku w którego skład wchodzi nieruchomość pozostająca we wspólnocie,prawo cywilne

8,czy z uwagi na uchybienie formalne podejmowanie uchwały poprzez indywidualne zbieranie głosów od członków wspólnoty mieszkaniowej które zostało dokonane przez inny podmiot niż zarząd lub zarządcę nieruchomości wspólnej istnieje przesłanka do stwierdzenia jej nieważności,prawo cywilne

9,czy pomimo tego iż uchwała została podjęta większością głosów to nadal istnieje obowiązek dalszego zbierania głosów czy w treści uchwały należy zamieszczać rubrykę informującą o wstrzymaniu się od głosu w jaki sposób odpowiedzieć na zarzut iż sposób zbierania głosów mógł mieć istotny wpływ na treść uchwały czy zarząd wspólnoty mieszkaniowej ma możliwość wyjścia z inicjatywą anulowania uchwały a następnie zbierania głosów pod identyczną uchwałą z zachowaniem wymogów formalnych,prawo cywilne

10,czy wspólnota może rozłożyć właścicielom lokali płatność na raty czy z każdym właścicielem lokalu należy zawrzeć odrębną umowę,prawo cywilne

11,czy wspólnota mieszkaniowa może wprowadzić do statutu wspólnoty zapis stosownie do którego cała instalacja centralnego ogrzewania wraz z grzejnikami w lokalach należy do części wspólnych,prawo cywilne

12,czy duża wspólnota mieszkaniowa składająca się z  lokali może podjąć uchwałę o powiększeniu wszystkich istniejących w danym budynku balkonów w liczbie  ze środków zgromadzonych na funduszu remontowym,prawo cywilne

13,czy wspólnota mieszkaniowa może żądać rozbiórki garażu,prawo administracyjne

14,czy spółdzielnia mieszkaniowa może wybudować wiatę śmietnikową na dwóch działkach na granicy czy w każdym przypadku musi zachować wymaganą odległość  metrów od granicy każdej działki,prawo administracyjne

15,czy dopuszczalne jest umieszczenie w uchwałach wspólnoty mieszkaniowej rubryki wstrzymał się od głosu i przyjęcie uchwały dotyczącej odliczenia od sumy wszystkich głosów oddanych części głosów oddanych przez osoby wstrzymujące się od głosu,prawo cywilne

16,czy wspólnota mieszkaniowa powinna wyrazić zgodę w formie uchwały na zlikwidowanie wewnętrznej instalacji gazowej przez właścicielkę lokalu mieszkalnego i zastąpienie jej instalacją elektryczną,prawo cywilne

17,czy wspólnota może sfinansować montaż poręczy przy schodach chociaż schody służą do użytku tylko jednego właściciela,prawo cywilne

18,czy właścicielka zobowiązana jest do uzyskania zgody wspólnoty mieszkaniowej na likwidację zabudowy okiennej czy wspólnota mieszkaniowa zobowiązana jest do podjęcia stosownej uchwały,prawo cywilne

19,czy osoba posiadająca kartę inwalidy zamieszkująca we wspólnocie ale niebędąca właścicielem mieszkania ani członkiem wspólnoty ma prawo do parkowania swojego samochodu na miejscu parkingowym przeznaczonym dla osób niepełnosprawnych czy osoba niebędąca członkiem wspólnoty która jest gościem członka wspólnoty posiadająca kartę inwalidy może parkować samochód na zamkniętym prywatnym terenie wspólnoty mieszkaniowej,prawo administracyjne

20,czy wspólnota mieszkaniowa powinna pokryć koszty naprawy drzwi komórki lokatorskiej,prawo cywilne

21,czy wspólnota mieszkaniowa może odwołać zarządcę administratora bez zgody zarządu czy pod wypowiedzeniem umowy dla starego zarządcy administratora i pod nową umową z nowym zarządcą administratorem może podpisać się tylko  członek zarządu,prawo cywilne

22,czy biorąc pod uwagę przedstawiony stan faktyczny zabudowa istniejącego ogrodzenia innym ogrodzeniem wymaga zgody wspólnoty mieszkaniowej w przypadku odpowiedzi twierdzącej w jakiej formie powinna zostać wyrażona ww zgoda czy wyrażenie wspomnianej zgody wymaga podjęcia uchwały przez właścicieli lokali,prawo cywilne

23,czy osoba sprzedająca mieszkanie we wspólnocie mieszkaniowej jest zobowiązana do poinformowania potencjalnego nabywcy mieszkania o zadłużeniu wspólnoty czy zarządca budynku wystawiając sprzedającemu zaświadczenie o niezaleganiu z zaliczkami wobec wspólnoty powinien w takim zaświadczeniu napisać że wspólnota posiada długi czy nowy właściciel mieszkania w takiej wspólnocie mieszkaniowej jest zobowiązany do ponoszenia wszelkich kosztów które powstały w momencie kiedy nie był jeszcze członkiem wspólnoty,prawo cywilne

24,czy zgodnie z przepisami rodo administrator może udostępnić członkowi zarządu wyciągi z kont bankowych wspólnoty na których figurują numery kont bankowych imię i nazwisko oraz adresy zamieszkania poszczególnych członków wspólnoty mieszkaniowej,prawo administracyjne

25,czy firma z którą skontaktował się zleceniodawca jest wiarygodna co może zrobić zleceniodawca aby chronić swoje dane osobowe które przekazał w wiadomości,prawo administracyjne

26,czy w związku z koniecznością dokonania podziału geodezyjnego uchwała w tym zakresie musi być podjęta przez  właścicieli zgodnie z ustawą o gospodarce nieruchomościami czy wystarczy większość głosów czy oprócz notarialnej zmiany wysokości udziałów należy jeszcze przedsięwziąć jakieś kroki,prawo cywilne

27,czy właściciel lokalu użytkowego magazynu w którym nie znajduje się grzejnik zobowiązany jest do partycypacji w kosztach ogrzewania nieruchomości wspólnej,prawo cywilne

28,czy wspólnota ma obowiązek wymienić grzejnik w przedmiotowym lokalu,prawo cywilne

29,czy roszczenie z tytułu poniesionych nakładów na nieruchomość w latach  uległo przedawnieniu czy dokonując wyceny nieruchomości rzeczoznawca będzie brał pod uwagę poniesione wydatki na remont grunty rolne na których rosną drzewa samosiejki zburzoną oborę o powierzchni  m w jaki sposób będzie dokonana wycena nieruchomości,prawo cywilne

30,czy roszczenia o zwrot nakładów za wykonane prace remontowobudowlane wykonane w okresie  przedawniają się z okresem  czy  lat co to jest przedawnienie okresowe letnie i kiedy się stosuje czy prace remontowobudowlane wykonane w okresie  przedawnione przez okres  lat wpływają na wartość nieruchomości na dzień dzisiejszy gdy będzie ona szacowana przez rzeczoznawcę majątkowego jeśli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w okresie  to na jakiej zasadzie rzeczoznawca majątkowy będzie szacował ich wartość oraz koszty robocizny związane z wykonaniem owych prac remontowobudowlanych jeśli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w latach  to na jakiej podstawie będzie szacowana ich wartość jak rzeczoznawca majątkowy oszacuje wartość stodoły i obory która została rozebrana pod koniec lat  przez brata ojca jak rzeczoznawca oszacuje wartość ciągnika ursus wozu konnego konia i maszyn rolniczych które zostały po śmierci rodziców a brat ojca michał sprzedał wszystko pod koniec lat,prawo cywilne

