,text,label
0,Can a housing community adopt a resolution regarding the purchase of radio-readable water meters for the premises and cover their costs?,civil law
1,Can the housing community recover the utility room? What steps should the housing community take to recover the room in question?,civil law
2,whether the rights of the residents of the housing community are consistent with the provisions of the GDPR,administrative law
3,whether the construction of an elevator for disabled people can be classified as a renovation and financed from the renovation fund of a large housing community,administrative law
4,"what actions should the housing community take to establish a special purpose fund in order to build an elevator for disabled people? Can the housing community, by a resolution of the shareholders, transfer funds from the renovation fund to the special purpose fund?",civil law
5,whether the real estate is purchased by a housing community or its individual members who will be the owner of the purchased real estate who will be obliged to pay real estate tax whether the community can allocate funds accumulated as a renovation and investment advance for the purchase of real estate whether a resolution by a majority of votes is enough to purchase real estate,civil law
6,what content these information boards should contain,administrative law
7,what costs must the housing community incur in connection with submitting an application for confirmation of the acquisition of an inheritance that includes real estate remaining in the community?,civil law
8,"Is there a reason to declare it invalid due to a formal irregularity in adopting a resolution by individually collecting votes from members of the housing community, which was made by an entity other than the management board or manager of the common property?",civil law
9,"whether, despite the fact that the resolution was adopted by a majority of votes, there is still an obligation to continue collecting votes, whether the content of the resolution should include a section informing about abstention, how to respond to the allegation that the method of collecting votes could have had a significant impact on the content of the resolution, or the management board of the housing community has the opportunity to take the initiative to cancel a resolution and then collect votes for an identical resolution while maintaining the formal requirements",civil law
10,Can the community divide the payment into installments for the owners of the premises? Should a separate agreement be concluded with each owner of the premises?,civil law
11,"Can a housing community introduce a provision into the community's statute stating that the entire central heating installation, including radiators in the premises, belongs to the common areas?",civil law
12,Can a large housing community consisting of apartments adopt a resolution to enlarge all balconies existing in a given building using the funds collected in the renovation fund?,civil law
13,Can a housing community demand the demolition of a garage?,administrative law
14,"Can a housing cooperative build a garbage shelter on two plots on the border? Or, in each case, must it maintain the required distance of meters from the border of each plot?",administrative law
15,Is it permissible to include in the resolutions of a housing community an abstention box and to adopt a resolution regarding the deduction of part of the votes cast by persons abstaining from the sum of all votes cast?,civil law
16,"whether the housing community should consent, in the form of a resolution, to the removal of the internal gas installation by the owner of the residential premises and its replacement with an electrical installation",civil law
17,"Can the community finance the installation of handrails on the stairs, even though the stairs are for the use of only one owner?",civil law
18,Is the owner obliged to obtain the consent of the housing community to remove the window development? Is the housing community obliged to adopt an appropriate resolution?,civil law
19,whether a person with a disability card who lives in the community but who is not the owner of the apartment or a member of the community has the right to park his car in a parking space intended for disabled people or a person who is not a member of the community and is a guest of a member of the community and who has a disability card can park his car in a closed private area of ​​the housing community,administrative law
20,whether the housing community should cover the costs of repairing the tenant's door,civil law
